Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T)
2014-01-02,1460,1470,1440,1460,Rise,10,1,1226275,178742550
2014-01-03,1450,1460,1430,1450,Fall,10,1,1026825,148682950
2014-01-06,1440,1450,1400,1405,Fall,45,3,1119605,159002557
2014-01-07,1415,1425,1415,1415,Rise,10,1,889715,126280787
2014-01-08,1420,1445,1420,1435,Rise,20,1,962545,137680637
2014-01-09,1440,1475,1440,1465,Rise,30,2,2126975,311142415
2014-01-10,1470,1520,1465,1520,Rise,55,4,3035975,455056585
2014-01-13,1540,1680,1540,1675,Rise,155,10,6923610,1128226875
2014-01-15,1700,1720,1670,1695,Rise,20,1,3267955,555036737
2014-01-16,1690,1690,1620,1620,Fall,75,4,1362950,224332247
2014-01-17,1620,1680,1615,1665,Rise,45,3,1138605,188416665
2014-01-20,1650,1665,1635,1640,Fall,25,2,667105,109963065
2014-01-21,1640,1680,1640,1665,Rise,25,2,1257650,209508205
2014-01-22,1670,1705,1665,1680,Rise,15,1,2067090,349858635
2014-01-23,1740,1770,1730,1740,Rise,60,4,3360045,585114505
2014-01-24,1740,1740,1675,1680,Fall,60,3,2554185,433265937
2014-01-27,1610,1665,1600,1650,Fall,30,2,2168685,353324402
2014-01-28,1610,1655,1610,1635,Fall,15,1,1340725,219771597
2014-01-29,1635,1665,1630,1660,Rise,25,2,2517655,415561210
2014-01-30,1620,1665,1620,1665,Rise,5,0,1457630,240580447
2014-02-03,1665,1670,1650,1660,Fall,5,0,1141575,189725462
2014-02-04,1630,1675,1625,1655,Fall,5,0,1556815,258035955
2014-02-05,1660,1675,1640,1665,Rise,10,1,1310950,217313230
2014-02-06,1655,1680,1645,1680,Rise,15,1,1732360,287351247
2014-02-07,1700,1750,1695,1745,Rise,65,4,2490590,431272420
2014-02-10,1750,1760,1735,1740,Fall,5,0,1561245,272381612
2014-02-11,1760,1770,1750,1760,Rise,20,1,1558815,274246145
2014-02-12,1780,1790,1735,1735,Fall,25,1,1701370,298924580
2014-02-13,1730,1750,1730,1740,Rise,5,0,1215610,211232060
2014-02-14,1740,1750,1735,1745,Rise,5,0,2568310,447630025
2014-02-17,1760,1800,1760,1790,Rise,45,3,4472005,798222495
2014-02-18,1790,1800,1785,1800,Rise,10,1,1742195,312835362
2014-02-19,1800,1890,1800,1875,Rise,75,4,4630265,852832987
2014-02-20,1875,1930,1875,1910,Rise,35,2,3361310,640516245
2014-02-21,1925,1940,1915,1930,Rise,20,1,2570790,496417602
2014-02-24,1945,1970,1930,1930,Unchnaged,0,0,2286475,445436410
2014-02-25,1930,1940,1870,1885,Fall,45,2,2319640,442776737
2014-02-26,1860,1890,1825,1885,Unchnaged,0,0,3404130,631837605
2014-02-27,1880,1880,1835,1840,Fall,45,2,1280075,236877385
2014-02-28,1845,1855,1830,1855,Rise,15,1,1432995,264318857
2014-03-03,1850,1855,1815,1850,Fall,5,0,1520990,279169112
2014-03-04,1850,1860,1830,1830,Fall,20,1,1383580,254440777
2014-03-05,1850,1860,1840,1855,Rise,25,1,2379855,440511282
2014-03-06,1860,1905,1855,1905,Rise,50,3,2887795,543409730
2014-03-07,1900,1900,1845,1850,Fall,55,3,1570700,293287207
2014-03-10,1830,1845,1805,1815,Fall,35,2,2044545,372356460
2014-03-11,1810,1850,1810,1845,Rise,30,2,1212470,222767027
2014-03-12,1835,1845,1825,1830,Fall,15,1,1086810,199815807
2014-03-13,1845,1865,1835,1865,Rise,35,2,1428690,264679010
2014-03-14,1830,2100,1830,2060,Rise,195,10,4187710,809086770
2014-03-17,2060,2060,1950,2000,Fall,60,3,3388225,675253240
2014-03-18,2000,2000,1940,1940,Fall,60,3,2410480,472661970
2014-03-19,1960,1980,1945,1965,Rise,25,1,1273495,250538040
2014-03-20,1960,1960,1900,1910,Fall,55,3,1826365,349459415
2014-03-21,1910,1925,1855,1860,Fall,50,3,3166770,594536045
2014-03-24,1880,1890,1865,1885,Rise,25,1,1692805,318285207
2014-03-25,1875,1915,1875,1905,Rise,20,1,1722805,327268975
2014-03-26,1905,1920,1890,1890,Fall,15,1,1623450,309065867
2014-03-27,1900,1905,1890,1890,Unchnaged,0,0,1625880,308290010
2014-03-28,1900,1925,1895,1915,Rise,25,1,1735990,331973032
2014-04-01,1950,2000,1940,2000,Rise,85,4,3047170,604424717
2014-04-02,1980,2010,1970,2000,Unchnaged,0,0,1560195,310612342
2014-04-03,1990,2020,1990,2020,Rise,20,1,1236350,248364380
2014-04-04,2020,2020,1965,1990,Fall,30,1,1232375,244417365
2014-04-07,1980,2010,1970,2000,Rise,10,1,2137335,427036610
2014-04-08,2010,2040,2010,2030,Rise,30,1,2837985,574733327
2014-04-10,1960,1960,1885,1885,Fall,145,7,6640470,1278310852
2014-04-11,1875,1930,1870,1910,Rise,25,1,2339375,446861147
2014-04-14,1910,1955,1910,1955,Rise,45,2,1804650,349846182
2014-04-15,1970,1985,1970,1970,Rise,15,1,1624365,320927080
2014-04-16,1985,1995,1980,1990,Rise,20,1,831020,165382290
2014-04-17,2000,2000,1975,2000,Rise,10,1,770595,153411392
2014-04-21,2010,2010,1990,2010,Rise,10,1,931450,186552862
2014-04-22,2020,2040,2000,2040,Rise,30,1,1420540,287326492
2014-04-23,2040,2050,1995,2000,Fall,40,2,1024375,206926107
2014-04-24,2040,2050,2000,2010,Rise,10,0,1747065,353639632
2014-04-25,2000,2020,1995,2000,Fall,10,0,1512870,303620772
2014-04-28,2010,2020,1955,1965,Fall,35,2,1931705,381868272
2014-04-29,1935,1960,1925,1955,Fall,10,1,1163800,226562537
2014-04-30,1975,2000,1970,1980,Rise,25,1,1895080,376521482
2014-05-02,2000,2010,1990,2010,Rise,30,2,1414770,283649195
