Date,Close
2014-01-02,1460
2014-01-03,1450
2014-01-06,1405
2014-01-07,1415
2014-01-08,1435
2014-01-09,1465
2014-01-10,1520
2014-01-13,1675
2014-01-15,1695
2014-01-16,1620
2014-01-17,1665
2014-01-20,1640
2014-01-21,1665
2014-01-22,1680
2014-01-23,1740
2014-01-24,1680
2014-01-27,1650
2014-01-28,1635
2014-01-29,1660
2014-01-30,1665
2014-02-03,1660
2014-02-04,1655
2014-02-05,1665
2014-02-06,1680
2014-02-07,1745
2014-02-10,1740
2014-02-11,1760
2014-02-12,1735
2014-02-13,1740
2014-02-14,1745
2014-02-17,1790
2014-02-18,1800
2014-02-19,1875
2014-02-20,1910
2014-02-21,1930
2014-02-24,1930
2014-02-25,1885
2014-02-26,1885
2014-02-27,1840
2014-02-28,1855
2014-03-03,1850
2014-03-04,1830
2014-03-05,1855
2014-03-06,1905
2014-03-07,1850
2014-03-10,1815
2014-03-11,1845
2014-03-12,1830
2014-03-13,1865
2014-03-14,2060
2014-03-17,2000
2014-03-18,1940
2014-03-19,1965
2014-03-20,1910
2014-03-21,1860
2014-03-24,1885
2014-03-25,1905
2014-03-26,1890
2014-03-27,1890
2014-03-28,1915
2014-04-01,2000
2014-04-02,2000
2014-04-03,2020
2014-04-04,1990
2014-04-07,2000
2014-04-08,2030
2014-04-10,1885
2014-04-11,1910
2014-04-14,1955
2014-04-15,1970
2014-04-16,1990
2014-04-17,2000
2014-04-21,2010
2014-04-22,2040
2014-04-23,2000
2014-04-24,2010
2014-04-25,2000
2014-04-28,1965
2014-04-29,1955
2014-04-30,1980
2014-05-02,2010
2014-05-05,2010
2014-05-06,2000
2014-05-07,2030
2014-05-08,2010
2014-05-09,2020
2014-05-12,2010
2014-05-13,2010
2014-05-14,2110
2014-05-16,2150
2014-05-19,2190
2014-05-20,2110
2014-05-21,2090
2014-05-22,2160
2014-05-23,2160
2014-05-26,2130
2014-05-28,2140
2014-05-30,2040
2014-06-02,2060
2014-06-03,2070
2014-06-04,2050
2014-06-05,2030
2014-06-06,2010
2014-06-09,1975
2014-06-10,2040
2014-06-11,2050
2014-06-12,2030
2014-06-13,2030
2014-06-16,2030
2014-06-17,2030
2014-06-18,2020
2014-06-19,2010
2014-06-20,2000
2014-06-23,1985
2014-06-24,2000
2014-06-25,2010
2014-06-26,2010
2014-06-27,2020
2014-06-30,2060
2014-07-01,2070
2014-07-02,2060
2014-07-03,2030
2014-07-04,2040
2014-07-07,2110
2014-07-08,2230
2014-07-10,2330
2014-07-11,2300
2014-07-14,2270
2014-07-15,2320
2014-07-16,2280
2014-07-17,2280
2014-07-18,2310
2014-07-21,2340
2014-07-22,2280
2014-07-23,2280
2014-07-24,2270
2014-07-25,2240
2014-08-04,2190
2014-08-05,2160
2014-08-06,2120
2014-08-07,2160
2014-08-08,2150
2014-08-11,2180
2014-08-12,2180
2014-08-13,2180
2014-08-14,2160
2014-08-15,2150
2014-08-18,2160
2014-08-19,2170
2014-08-20,2200
2014-08-21,2240
2014-08-22,2250
2014-08-25,2260
2014-08-26,2210
2014-08-27,2220
2014-08-28,2220
2014-08-29,2210
2014-09-01,2210
2014-09-02,2220
2014-09-03,2220
2014-09-04,2210
2014-09-05,2190
2014-09-08,2190
2014-09-09,2160
2014-09-10,2150
2014-09-11,2140
2014-09-12,2110
2014-09-15,2080
2014-09-16,2060
2014-09-17,2080
2014-09-18,2100
2014-09-19,2160
2014-09-22,2160
2014-09-23,2130
2014-09-24,2120
2014-09-25,2150
2014-09-26,2070
2014-09-29,2070
2014-09-30,2080
2014-10-01,2150
2014-10-02,2070
2014-10-03,2000
2014-10-06,2100
2014-10-07,2090
2014-10-08,2020
2014-10-09,2050
2014-10-10,2020
2014-10-13,2010
2014-10-14,2020
2014-10-15,2070
2014-10-16,2040
2014-10-17,2140
2014-10-20,2140
2014-10-21,2110
2014-10-22,2140
2014-10-23,2170
2014-10-24,2160
2014-10-27,2110
2014-10-28,2100
2014-10-29,2160
2014-10-30,2160
2014-10-31,2210
2014-11-03,2220
2014-11-04,2200
2014-11-05,2210
2014-11-06,2160
2014-11-07,2130
2014-11-10,2130
2014-11-11,2180
2014-11-12,2190
2014-11-13,2200
2014-11-14,2210
2014-11-17,2210
2014-11-18,2230
2014-11-19,2220
2014-11-20,2220
2014-11-21,2230
2014-11-24,2250
2014-11-25,2250
2014-11-26,2290
2014-11-27,2300
2014-11-28,2300
2014-12-01,2320
2014-12-02,2330
2014-12-03,2320
2014-12-04,2290
2014-12-05,2290
2014-12-08,2260
2014-12-09,2240
2014-12-10,2310
2014-12-11,2300
2014-12-12,2330
2014-12-15,2290
2014-12-16,2210
2014-12-17,2260
2014-12-18,2320
2014-12-19,2300
2014-12-22,2320
2014-12-23,2340
2014-12-24,2320
2014-12-29,2330
2014-12-30,2330
2015-01-02,2330
2015-01-05,2320
2015-01-06,2300
2015-01-07,2350
2015-01-08,2390
2015-01-09,2400
2015-01-12,2350
2015-01-13,2360
2015-01-14,2350
2015-01-15,2340
2015-01-16,2310
2015-01-19,2320
2015-01-20,2300
2015-01-21,2280
2015-01-22,2290
2015-01-23,2370
2015-01-26,2370
2015-01-27,2380
2015-01-28,2340
2015-01-29,2340
2015-01-30,2330
2015-02-02,2340
2015-02-03,2350
2015-02-04,2350
2015-02-05,2340
2015-02-06,2330
2015-02-09,2330
2015-02-10,2330
2015-02-11,2340
2015-02-12,2370
2015-02-13,2400
2015-02-16,2400
2015-02-17,2400
2015-02-18,2490
2015-02-20,2540
2015-02-23,2540
2015-02-24,2560
2015-02-25,2580
2015-02-26,2590
2015-02-27,2570
2015-03-02,2590
2015-03-03,2570
2015-03-04,2560
2015-03-05,2570
2015-03-06,2610
2015-03-09,2580
2015-03-10,2570
2015-03-11,2570
2015-03-12,2580
2015-03-13,2550
2015-03-16,2580
2015-03-17,2580
2015-03-18,2590
2015-03-19,2610
2015-03-20,2580
2015-03-23,2580
2015-03-24,2600
2015-03-25,2630
2015-03-26,2620
2015-03-27,2610
2015-03-30,2600
2015-03-31,2650
2015-04-01,2600
2015-04-02,2600
2015-04-06,2600
2015-04-07,2630
2015-04-08,2620
2015-04-09,2610
2015-04-10,2600
2015-04-13,2600
2015-04-14,2600
2015-04-15,2610
2015-04-16,2620
2015-04-17,2600
2015-04-20,2630
2015-04-21,2640
2015-04-22,2630
2015-04-23,2610
2015-04-24,2590
2015-04-27,2400
2015-04-28,2370
2015-04-29,2320
2015-04-30,2320
2015-05-04,2320
2015-05-05,2340
2015-05-06,2350
2015-05-07,2320
2015-05-08,2330
2015-05-11,2350
2015-05-12,2400
2015-05-13,2430
2015-05-15,2360
2015-05-18,2400
2015-05-19,2450
2015-05-20,2490
2015-05-21,2550
2015-05-22,2520
2015-05-25,2470
2015-05-26,2470
2015-05-27,2390
2015-05-28,2360
2015-05-29,2350
2015-06-01,2340
2015-06-03,2250
2015-06-04,2220
2015-06-05,2260
2015-06-08,2200
2015-06-09,2090
2015-06-10,2080
2015-06-11,2020
2015-06-12,2070
2015-06-15,2030
2015-06-16,2110
2015-06-17,2200
2015-06-18,2150
2015-06-19,2210
2015-06-22,2190
2015-06-23,2160
2015-06-24,2060
2015-06-25,2040
2015-06-26,2090
2015-06-29,2070
2015-06-30,2070
2015-07-01,2110
2015-07-02,2170
2015-07-03,2160
2015-07-06,2080
2015-07-07,2090
2015-07-08,2040
2015-07-09,2060
2015-07-10,2090
2015-07-13,2090
2015-07-14,2100
2015-07-15,2020
2015-07-22,2070
2015-07-23,2050
2015-07-24,2020
2015-07-27,1955
2015-07-28,1880
2015-07-29,1900
2015-07-30,1870
2015-07-31,2000
2015-08-03,2090
2015-08-04,2080
2015-08-05,2160
2015-08-06,2150
2015-08-07,2110
2015-08-10,2110
2015-08-11,2030
2015-08-12,1940
2015-08-13,2000
2015-08-14,2040
2015-08-18,1960
2015-08-19,1980
2015-08-20,1945
2015-08-21,1900
2015-08-24,1830
2015-08-25,1900
2015-08-26,1950
2015-08-27,2100
2015-08-28,2080
2015-08-31,2120
2015-09-01,2020
2015-09-02,2040
2015-09-03,2030
2015-09-04,2010
2015-09-07,1955
2015-09-08,1985
2015-09-09,1985
2015-09-10,1930
2015-09-11,1920
2015-09-14,1925
2015-09-15,1925
2015-09-16,1920
2015-09-17,2000
2015-09-18,1955
2015-09-21,1905
2015-09-22,1870
2015-09-23,1760
2015-09-25,1710
2015-09-28,1660
2015-09-29,1670
2015-09-30,1730
2015-10-01,1745
2015-10-02,1735
2015-10-05,1825
2015-10-06,1890
2015-10-07,1970
